               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062083,            0.044948,            0.026562,            0.022789,                0.72,            0.025086,           0.0051491,            0.038296,            0.048502,            0.025472,             0.00049,             0.00049,             0.09559
                   1,            0.038555,            0.047418,            0.026178,            0.099806,                0.48,             0.11678,            0.030983,            0.037483,             0.04697,            0.025031,          0.00098452,          0.00098452,            0.091085
                   2,            0.037419,            0.045966,              0.0257,             0.17747,                0.51,             0.21754,            0.068713,            0.036382,            0.045357,            0.024637,           0.0014572,           0.0014572,            0.086557
                   3,            0.036596,            0.044044,            0.025271,             0.33144,                0.28,              0.2529,               0.104,            0.035529,             0.04326,            0.024266,           0.0018924,           0.0018924,            0.081992
                   4,            0.035542,            0.041813,            0.024868,             0.38584,                0.57,             0.39884,             0.15903,            0.034726,            0.040742,            0.023979,            0.002276,            0.002276,            0.077376
                   5,            0.034366,            0.038797,            0.024557,             0.41967,             0.58256,             0.45172,             0.22487,            0.033735,            0.037935,            0.023696,           0.0025959,           0.0025959,            0.072696
                   6,            0.032933,            0.035107,             0.02408,             0.39518,                0.75,             0.47669,              0.2555,            0.032012,            0.033672,            0.023391,           0.0028426,           0.0028426,            0.067943
                   7,            0.031314,             0.03108,            0.023944,             0.48458,             0.84808,             0.56216,             0.31142,             0.03081,            0.030385,            0.023387,           0.0030096,           0.0030096,             0.06311
                   8,            0.030151,            0.027508,            0.024016,             0.48741,             0.69706,             0.51598,             0.24771,            0.040143,            0.038756,            0.024212,           0.0030939,           0.0030939,            0.058194
                   9,            0.028271,            0.025005,            0.022917,             0.54352,             0.85614,             0.64111,             0.35464,            0.029149,            0.023811,            0.022487,           0.0030958,           0.0030958,            0.053196
                  10,            0.028112,            0.022031,            0.022599,             0.51348,             0.93913,              0.6627,             0.39511,             0.02738,              0.0221,            0.021745,           0.0030195,           0.0030195,             0.04812
                  11,            0.027037,            0.020535,            0.021494,              0.6877,             0.75964,             0.80133,             0.49456,            0.026375,              0.0206,            0.020391,           0.0028728,           0.0028728,            0.042973
                  12,            0.024889,            0.018516,            0.021105,             0.61606,                0.91,             0.76572,             0.45462,            0.026352,            0.018746,            0.020181,            0.002667,            0.002667,            0.037767
                  13,            0.024737,            0.017742,            0.019353,             0.85039,             0.87657,              0.9258,             0.60018,            0.025032,            0.018053,            0.018095,           0.0024165,           0.0024165,            0.032516
                  14,            0.024532,            0.016973,            0.018292,             0.84911,             0.85734,             0.91094,             0.54215,            0.026753,            0.017606,            0.017344,           0.0021384,           0.0021384,            0.027238
                  15,            0.023409,            0.016362,            0.016538,             0.95415,             0.91904,             0.96618,              0.6696,            0.023723,            0.017021,            0.015917,           0.0018521,           0.0018521,            0.021952
                  16,            0.022315,            0.015814,             0.01499,             0.99911,             0.95838,             0.98351,             0.67115,            0.022939,            0.015956,            0.013667,           0.0015787,           0.0015787,            0.016679
                  17,            0.021442,            0.015387,            0.013417,             0.99905,                0.96,             0.98711,             0.67899,            0.022911,            0.015798,            0.011897,           0.0013399,           0.0013399,             0.01144
                  18,            0.020044,             0.01497,            0.011617,                   1,             0.97836,             0.98996,             0.71676,            0.021577,            0.015494,            0.010568,            0.001158,            0.001158,            0.006258
