               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.061,            0.045221,            0.026763,            0.023141,                0.73,            0.023048,           0.0048388,            0.038311,            0.048914,            0.025572,             0.00049,             0.00049,             0.09559
                   1,            0.038425,            0.047688,            0.026513,             0.08188,                0.25,              0.0642,           0.0097386,            0.053044,            0.043364,            0.025253,          0.00098452,          0.00098452,            0.091085
                   2,            0.037077,            0.046353,            0.026297,             0.17736,                0.47,             0.19927,            0.068551,            0.036057,            0.046059,            0.025136,           0.0014572,           0.0014572,            0.086557
                   3,            0.036091,            0.044516,            0.026101,             0.27034,                0.51,              0.3029,             0.12165,            0.035073,            0.043913,            0.025067,           0.0018924,           0.0018924,            0.081992
                   4,            0.034829,            0.042236,            0.025873,             0.36208,                0.66,             0.41401,             0.17617,            0.034098,            0.041306,            0.024634,            0.002276,            0.002276,            0.077376
                   5,            0.034007,             0.03926,            0.025483,             0.54745,             0.62944,             0.56173,              0.2316,            0.033501,            0.038221,            0.024256,           0.0025959,           0.0025959,            0.072696
                   6,            0.032419,            0.035804,            0.024996,             0.54732,                0.71,             0.61017,             0.31564,            0.031917,            0.035544,            0.023512,           0.0028426,           0.0028426,            0.067943
                   7,            0.030622,             0.03191,            0.024375,              0.5682,                0.77,             0.65945,             0.30665,            0.033919,            0.036424,            0.023216,           0.0030096,           0.0030096,             0.06311
                   8,            0.029162,            0.027984,             0.02383,             0.51316,                0.89,             0.68107,             0.39109,            0.029104,            0.026668,            0.022199,           0.0030939,           0.0030939,            0.058194
                   9,            0.026983,            0.024364,            0.022342,             0.50049,                0.75,             0.61348,              0.3067,            0.036263,            0.037954,            0.023703,           0.0030958,           0.0030958,            0.053196
                  10,            0.026979,             0.02202,             0.02176,             0.74584,             0.79551,             0.83085,             0.46898,            0.030664,            0.022597,            0.019281,           0.0030195,           0.0030195,             0.04812
                  11,            0.026327,            0.019965,            0.020153,             0.86477,             0.76626,             0.87547,             0.51202,            0.028625,            0.020409,            0.019837,           0.0028728,           0.0028728,            0.042973
                  12,            0.025233,            0.018672,            0.018162,             0.79717,                0.84,             0.90583,             0.58724,            0.025203,            0.019483,            0.018028,            0.002667,            0.002667,            0.037767
                  13,            0.025511,            0.018037,            0.015605,             0.94353,                0.92,             0.96582,             0.64147,            0.024502,            0.018665,            0.016093,           0.0024165,           0.0024165,            0.032516
                  14,            0.022012,            0.016993,            0.013198,             0.96494,             0.96927,              0.9874,             0.65898,            0.024132,            0.017152,            0.013008,           0.0021384,           0.0021384,            0.027238
                  15,            0.021933,            0.016178,            0.011266,             0.99989,             0.95977,             0.98898,             0.67777,            0.022618,            0.016925,            0.011252,           0.0018521,           0.0018521,            0.021952
                  16,            0.021391,            0.015838,            0.009137,             0.99607,                   1,               0.995,             0.72148,             0.02263,            0.016563,           0.0080158,           0.0015787,           0.0015787,            0.016679
                  17,            0.020059,            0.015279,           0.0076065,             0.99902,             0.99996,               0.995,             0.74181,            0.021183,            0.015716,           0.0065513,           0.0013399,           0.0013399,             0.01144
                  18,            0.019075,            0.014885,           0.0065281,             0.99549,             0.99995,               0.995,             0.71542,            0.021883,            0.015866,           0.0072305,            0.001158,            0.001158,            0.006258
                  19,            0.018895,            0.014695,            0.005774,             0.99991,             0.99891,               0.995,             0.73921,            0.020161,            0.015262,           0.0064579,           0.0010543,           0.0010543,           0.0011543
